ENTIDADE,DATA,SÓLIDOS
P3,2017-09-12,36.1
P4,2017-09-12,122.3
P5,2017-09-12,40.6
P7,2017-09-12,
P1,2017-10-10,50.9
Pb,2017-10-10,33.0
Pc,2017-10-10,23.0
Pd,2017-10-10,28.4
P2,2017-10-10,16.9
P3,2017-10-10,20.6
P4,2017-10-10,91.5
P5,2017-10-10,34.0
P7,2017-10-10,6.4
P1,2017-11-07,50.0
Pb,2017-11-07,333.4
Pc,2017-11-07,25.9
Pd,2017-11-07,7.0
P2,2017-11-07,282.7
P3,2017-11-07,198.5
P4,2017-11-07,13.6
P5,2017-11-07,8.1
P7,2017-11-07,
P1,2017-12-12,26.5
Pb,2017-12-12,
Pc,2017-12-12,
Pd,2017-12-12,
P2,2017-12-12,19.3
P3,2017-12-12,7.3
P4,2017-12-12,32.3
P5,2017-12-12,25.4
P7,2017-12-12,
P1,2018-01-30,4.4
Pb,2018-01-30,5.7
Pc,2018-01-30,9.4
Pd,2018-01-30,8.2
P2,2018-01-30,8.8
P3,2018-01-30,7.9
P4,2018-01-30,8.2
P5,2018-01-30,2.5
P7,2018-01-30,
P1,2018-02-15,28.9
Pb,2018-02-15,9.8
Pc,2018-02-15,13.7
Pd,2018-02-15,12.8
P2,2018-02-15,13.1
P3,2018-02-15,0.9
P4,2018-02-15,15.8
P5,2018-02-15,5.6
P7,2018-02-15,6.2
P1,2018-03-13,39.1
Pb,2018-03-13,
Pc,2018-03-13,
Pd,2018-03-13,
P2,2018-03-13,15.6
P3,2018-03-13,6.3
P4,2018-03-13,106.7
P5,2018-03-13,17.4
P7,2018-03-13,
P1,2018-04-10,47.3
Pb,2018-04-10,
Pc,2018-04-10,
Pd,2018-04-10,
P2,2018-04-10,29.3
P3,2018-04-10,5.8
P4,2018-04-10,98.9
P5,2018-04-10,21.2
P7,2018-04-10,12.0
